name,shape,social_facebook,website
Lincoln College,"POLYGON ((-1.2554728 51.753475 0,-1.2552891 51.7534768 0,-1.2551744 51.7534779 0,-1.2551605 51.7534184 0,-1.2551571 51.7534046 0,-1.2551342 51.7533123 0,-1.2551195 51.7532414 0,-1.255112 51.7532054 0,-1.2550908 51.7531128 0,-1.255102 51.7531099 0,-1.2551121 51.7531039 0,-1.2551211 51.753096 0,-1.2551267 51.7530857 0,-1.255125 51.7530739 0,-1.2551193 51.7530626 0,-1.2551093 51.7530545 0,-1.2550938 51.7530474 0,-1.2550799 51.753045 0,-1.255111 51.7530413 0,-1.2551002 51.7530007 0,-1.2551806 51.7529961 0,-1.2552846 51.7529918 0,-1.255317 51.7529463 0,-1.2553351 51.7528543 0,-1.2553356 51.7528455 0,-1.2553391 51.752784 0,-1.2553399 51.7526829 0,-1.2553402 51.7526438 0,-1.2553405 51.7526012 0,-1.2553248 51.752571 0,-1.2553129 51.7525345 0,-1.2553538 51.7525261 0,-1.2553036 51.752376 0,-1.2553903 51.7523642 0,-1.2557555 51.7523138 0,-1.2558273 51.7523078 0,-1.2558414 51.7523417 0,-1.2558703 51.7524263 0,-1.255845 51.7525979 0,-1.2558219 51.7526041 0,-1.2558191 51.7527127 0,-1.2558713 51.7528077 0,-1.2559984 51.7530362 0,-1.2560336 51.7530995 0,-1.256039 51.7531093 0,-1.2560689 51.7531632 0,-1.2560747 51.7531735 0,-1.256162 51.7533272 0,-1.2561752 51.753348 0,-1.2559416 51.7533902 0,-1.255744 51.753426 0,-1.2554728 51.753475 0))",NA,http://www.linc.ox.ac.uk/
Magdalen College,"MULTIPOLYGON (((-1.2443164 51.7547731 0,-1.2441723 51.7547315 0,-1.2439101 51.7546918 0,-1.2436773 51.7546725 0,-1.2434816 51.7546493 0,-1.243424 51.754562 0,-1.2420346 51.7544591 0,-1.2412729 51.7544026 0,-1.2409027 51.7543694 0,-1.2403448 51.7543827 0,-1.2403024 51.7542408 0,-1.2402517 51.7542364 0,-1.2402175 51.7542208 0,-1.2401977 51.7542043 0,-1.2401939 51.7541836 0,-1.2399495 51.7541529 0,-1.2399152 51.7541666 0,-1.239887 51.7541732 0,-1.2398483 51.7541648 0,-1.2398281 51.754153 0,-1.2396417 51.7541478 0,-1.2395369 51.754142 0,-1.2392274 51.7541084 0,-1.2390548 51.7540762 0,-1.238818 51.7540497 0,-1.2386407 51.7540789 0,-1.238571 51.7542038 0,-1.2384828 51.7544322 0,-1.2383178 51.7546301 0,-1.2381844 51.754746 0,-1.2381537 51.754799 0,-1.238163 51.7548866 0,-1.2381804 51.7550226 0,-1.2382556 51.7551221 0,-1.2382833 51.7552652 0,-1.2382695 51.7553209 0,-1.2382454 51.7555056 0,-1.2382404 51.7556158 0,-1.2382464 51.7556905 0,-1.2382774 51.7558339 0,-1.238281 51.7559757 0,-1.2382982 51.7561192 0,-1.2383274 51.7561659 0,-1.2383962 51.7562023 0,-1.2384392 51.7562563 0,-1.2384932 51.7564694 0,-1.2388837 51.7568823 0,-1.2393381 51.7573873 0,-1.2394353 51.7575379 0,-1.2396038 51.7576641 0,-1.2358571 51.7576275 0,-1.2359257 51.757028 0,-1.2357977 51.7565564 0,-1.235693 51.7563725 0,-1.2356867 51.756231 0,-1.237605 51.7562376 0,-1.2376077 51.7561829 0,-1.2375335 51.755239 0,-1.2359024 51.7552656 0,-1.2358739 51.755225 0,-1.2360341 51.7547768 0,-1.2361853 51.7541561 0,-1.2365301 51.753128 0,-1.2380306 51.7535298 0,-1.2383937 51.7530583 0,-1.2381678 51.7529941 0,-1.2383113 51.7527407 0,-1.2390263 51.7529406 0,-1.2388922 51.7531204 0,-1.2388468 51.7532181 0,-1.2387794 51.7533516 0,-1.23886 51.7533957 0,-1.2393098 51.7533653 0,-1.24033 51.7535429 0,-1.2404666 51.7535844 0,-1.2407458 51.7533169 0,-1.2408165 51.7532734 0,-1.2409108 51.7532339 0,-1.2410212 51.7531886 0,-1.2411884 51.7531288 0,-1.2413729 51.7530199 0,-1.241549 51.7529652 0,-1.2417602 51.7528687 0,-1.2418539 51.7528144 0,-1.2421638 51.7526289 0,-1.2422759 51.7525481 0,-1.2423065 51.7525128 0,-1.2423758 51.7525002 0,-1.2426746 51.752361 0,-1.2428711 51.7522377 0,-1.2430967 51.7520976 0,-1.2432966 51.7519526 0,-1.2434587 51.751875 0,-1.2436304 51.7518212 0,-1.2439894 51.7517364 0,-1.2448179 51.7515452 0,-1.2453533 51.7514389 0,-1.2458476 51.7513228 0,-1.2459727 51.7513194 0,-1.2460161 51.7513388 0,-1.2460497 51.7513723 0,-1.246206 51.7514706 0,-1.2462657 51.7514766 0,-1.2463037 51.7514969 0,-1.2463166 51.7515037 0,-1.2465563 51.751607 0,-1.2465952 51.7516233 0,-1.2466527 51.7516444 0,-1.2467189 51.7515919 0,-1.2467323 51.7515823 0,-1.2468806 51.7516535 0,-1.2468866 51.7516493 0,-1.2468964 51.7516484 0,-1.2469051 51.7516524 0,-1.246906 51.7516598 0,-1.2469833 51.751702 0,-1.2469924 51.7517008 0,-1.2470008 51.7517049 0,-1.2470009 51.7517107 0,-1.247154 51.7517942 0,-1.2473272 51.7518916 0,-1.2475023 51.7519932 0,-1.2475247 51.7520063 0,-1.2475695 51.7520274 0,-1.2476134 51.7520526 0,-1.2476754 51.7520879 0,-1.2479858 51.7522087 0,-1.248268 51.7522858 0,-1.2482124 51.7523593 0,-1.2482377 51.752365 0,-1.2482781 51.7523734 0,-1.248327 51.7523008 0,-1.2485764 51.7523772 0,-1.2486354 51.752432 0,-1.2486171 51.7525421 0,-1.2484728 51.7530239 0,-1.2484482 51.7531623 0,-1.2484462 51.7531735 0,-1.2484429 51.753192 0,-1.2483501 51.754103 0,-1.2485537 51.7543474 0,-1.2486791 51.7545111 0,-1.2489578 51.7547303 0,-1.2490389 51.7547232 0,-1.2490549 51.7548041 0,-1.2490806 51.7548345 0,-1.2490645 51.7548937 0,-1.2490431 51.7549723 0,-1.2490299 51.7549907 0,-1.2489391 51.7550999 0,-1.2487747 51.7552975 0,-1.24874 51.7553425 0,-1.2486129 51.7553001 0,-1.2486076 51.7553056 0,-1.2479583 51.7551034 0,-1.2475668 51.7550121 0,-1.2466032 51.7547847 0,-1.2463439 51.7547283 0,-1.2462863 51.7548264 0,-1.2458106 51.7548942 0,-1.245629 51.7552619 0,-1.2456126 51.7552624 0,-1.2455166 51.7552653 0,-1.2453526 51.7553055 0,-1.2451865 51.7553268 0,-1.2446979 51.7551118 0,-1.2445316 51.7549009 0,-1.2444408 51.7548339 0,-1.2443164 51.7547731 0)),((-1.2487991 51.7532033 0,-1.2486424 51.7532012 0,-1.248622 51.7530696 0,-1.2486301 51.7528354 0,-1.2486589 51.7527719 0,-1.2486867 51.7526757 0,-1.2487173 51.7526785 0,-1.2487468 51.7526116 0,-1.2487857 51.7524316 0,-1.248828 51.7524102 0,-1.2488797 51.7524207 0,-1.2490495 51.7524646 0,-1.2491224 51.7524775 0,-1.249047 51.7525923 0,-1.2490521 51.7526092 0,-1.2490502 51.7526255 0,-1.2490475 51.7526398 0,-1.2490094 51.7528175 0,-1.2490065 51.7528272 0,-1.2490063 51.7528329 0,-1.2489985 51.7529153 0,-1.249005 51.7529505 0,-1.2490115 51.7529935 0,-1.2489748 51.7530014 0,-1.2489435 51.7530143 0,-1.2489307 51.7530316 0,-1.2489342 51.7530524 0,-1.248969 51.7530711 0,-1.2490165 51.753076 0,-1.2490173 51.7530982 0,-1.2489145 51.7531027 0,-1.2487909 51.7531082 0,-1.2487991 51.7532033 0)),((-1.2485476 51.7522071 0,-1.2482925 51.7521277 0,-1.2482102 51.7521019 0,-1.248051 51.7520529 0,-1.2479762 51.7520279 0,-1.2483316 51.7516642 0,-1.2488568 51.7518247 0,-1.2485476 51.7522071 0)),((-1.2491581 51.7523295 0,-1.2488115 51.7522763 0,-1.2488692 51.7521851 0,-1.2489632 51.7522117 0,-1.249013 51.7521995 0,-1.2490386 51.752155 0,-1.2490792 51.7521643 0,-1.2490699 51.752188 0,-1.2491464 51.7522031 0,-1.2491337 51.7522397 0,-1.2491894 51.7522462 0,-1.2491581 51.7523295 0)))",https://www.facebook.com/magdcolloxford,http://www.magd.ox.ac.uk/
Mansfield College,"POLYGON ((-1.2519106 51.7568404 0,-1.25215 51.7575375 0,-1.2522227 51.7576574 0,-1.2524354 51.7579665 0,-1.2534863 51.757663 0,-1.2534878 51.7576224 0,-1.2540843 51.7574245 0,-1.2541291 51.7574126 0,-1.2541592 51.7574025 0,-1.2539136 51.7570342 0,-1.253799 51.7567852 0,-1.2537546 51.7567111 0,-1.2537159 51.7567139 0,-1.2526481 51.756792 0,-1.2519106 51.7568404 0))",https://www.facebook.com/MansfieldCollegeOxford,http://www.mansfield.ox.ac.uk/
Merton College,"MULTIPOLYGON (((-1.2521937 51.7513123 0,-1.2521053 51.7513259 0,-1.251959 51.7513466 0,-1.2518031 51.7513713 0,-1.2516281 51.7513961 0,-1.2514453 51.7514154 0,-1.2513739 51.7514212 0,-1.2512493 51.7514343 0,-1.2510947 51.7514488 0,-1.251041 51.7514562 0,-1.2507424 51.7514971 0,-1.2505537 51.7515089 0,-1.2496833 51.7515667 0,-1.249637 51.7516536 0,-1.249661 51.7516586 0,-1.2496132 51.7517452 0,-1.2495789 51.7518196 0,-1.2495334 51.7519002 0,-1.2493771 51.7518664 0,-1.2493528 51.7518957 0,-1.2488834 51.7517803 0,-1.2488568 51.7518247 0,-1.2487085 51.7517707 0,-1.2483316 51.7516642 0,-1.2488158 51.7510897 0,-1.2489834 51.7508724 0,-1.2494574 51.7510439 0,-1.2496387 51.7508493 0,-1.2498197 51.7509074 0,-1.2507549 51.7507615 0,-1.2507619 51.7507434 0,-1.2507879 51.7507314 0,-1.2508173 51.750737 0,-1.2508271 51.7507516 0,-1.2509144 51.7507337 0,-1.2515615 51.7506169 0,-1.2519538 51.7505328 0,-1.2524927 51.7504099 0,-1.2529228 51.7503174 0,-1.2530008 51.7502878 0,-1.2530515 51.7504697 0,-1.2530533 51.7507269 0,-1.253044 51.7509375 0,-1.2530434 51.7510055 0,-1.2530973 51.7511461 0,-1.2530652 51.7511543 0,-1.2530163 51.7511659 0,-1.2528697 51.751196 0,-1.2527054 51.7512207 0,-1.2523221 51.7512926 0,-1.2522174 51.7513082 0,-1.2521937 51.7513123 0)),((-1.251685 51.7514797 0,-1.2518602 51.7514431 0,-1.2519424 51.7514323 0,-1.25205 51.7514168 0,-1.2521726 51.7513991 0,-1.2523418 51.7513779 0,-1.252364 51.7514297 0,-1.25237 51.7514435 0,-1.2523759 51.7514573 0,-1.2524119 51.7516415 0,-1.2524553 51.7517224 0,-1.2524748 51.7517211 0,-1.2524889 51.7517298 0,-1.252513 51.7518009 0,-1.2522898 51.7518323 0,-1.2522693 51.751791 0,-1.2522509 51.7517685 0,-1.2522242 51.7517163 0,-1.2521152 51.751731 0,-1.2518626 51.7517589 0,-1.2518665 51.7517966 0,-1.2517588 51.7518097 0,-1.2513385 51.75186 0,-1.251293 51.7517324 0,-1.2512572 51.7515645 0,-1.2512559 51.7515594 0,-1.2512474 51.7515282 0,-1.2514088 51.7515099 0,-1.2514412 51.7515061 0,-1.2514739 51.7515023 0,-1.2516228 51.751487 0,-1.251685 51.7514797 0)))",https://www.facebook.com/MertonCollegeOxford,http://www.merton.ox.ac.uk/
New College,"POLYGON ((-1.2525757 51.7541313 0,-1.252572 51.7541101 0,-1.2525551 51.7540556 0,-1.2524951 51.753835 0,-1.2523225 51.7538148 0,-1.2523286 51.7537873 0,-1.2523454 51.7537108 0,-1.2523614 51.75352 0,-1.2524982 51.753518 0,-1.2525681 51.7535162 0,-1.2527064 51.7535135 0,-1.252715 51.7535254 0,-1.2527521 51.7536154 0,-1.2528258 51.7537859 0,-1.2528694 51.7538885 0,-1.2529353 51.7538886 0,-1.2529788 51.7538887 0,-1.2529809 51.7539068 0,-1.2529927 51.7540089 0,-1.2529932 51.7540219 0,-1.2531477 51.7540192 0,-1.2531564 51.7541042 0,-1.2531563 51.7541277 0,-1.253157 51.7541463 0,-1.253159 51.7542283 0,-1.2526502 51.7541776 0,-1.2525863 51.7541704 0,-1.2525439 51.7541641 0,-1.2525034 51.7541576 0,-1.2523359 51.7541395 0,-1.2523279 51.7541398 0,-1.2523221 51.7541589 0,-1.2523169 51.754176 0,-1.2525313 51.7542 0,-1.2530918 51.7542626 0,-1.2530454 51.7544585 0,-1.2531228 51.7544916 0,-1.2532536 51.7545022 0,-1.2535617 51.7545155 0,-1.25364 51.7545206 0,-1.2536271 51.7545963 0,-1.2536189 51.7546461 0,-1.2535767 51.7546436 0,-1.2535083 51.7546361 0,-1.2532777 51.7546261 0,-1.2532715 51.7546626 0,-1.2531852 51.754657 0,-1.2531913 51.7546214 0,-1.2531246 51.7546167 0,-1.2530738 51.7546128 0,-1.2525181 51.754551 0,-1.2524919 51.7546701 0,-1.2525377 51.7546756 0,-1.2524947 51.754828 0,-1.2524813 51.7548755 0,-1.2524561 51.7550139 0,-1.2524045 51.7550105 0,-1.2523405 51.7550066 0,-1.2522844 51.7550025 0,-1.25212 51.7549954 0,-1.2520181 51.7549794 0,-1.2518905 51.754974 0,-1.2518972 51.7549459 0,-1.2508621 51.7548673 0,-1.2498811 51.7547823 0,-1.2499019 51.7546986 0,-1.2499148 51.7546274 0,-1.2499231 51.7545812 0,-1.2499522 51.7543993 0,-1.2498754 51.754391 0,-1.2498052 51.7543835 0,-1.2497273 51.7543751 0,-1.2493986 51.7543397 0,-1.2491991 51.7546415 0,-1.2491717 51.754683 0,-1.2491138 51.7546482 0,-1.2490414 51.7545996 0,-1.2488086 51.7544414 0,-1.2487948 51.7544497 0,-1.2487897 51.7544442 0,-1.2486706 51.754315 0,-1.2486613 51.7543049 0,-1.2486337 51.7542633 0,-1.2486189 51.7541893 0,-1.2486218 51.754155 0,-1.2486119 51.7541547 0,-1.2486289 51.7535946 0,-1.2486389 51.7533552 0,-1.2486423 51.7532564 0,-1.2486424 51.7532012 0,-1.2487991 51.7532033 0,-1.2487909 51.7531082 0,-1.2489145 51.7531027 0,-1.2490173 51.7530982 0,-1.2490165 51.753076 0,-1.248969 51.7530711 0,-1.2489342 51.7530524 0,-1.2489307 51.7530316 0,-1.2489435 51.7530143 0,-1.2489748 51.7530014 0,-1.2490115 51.7529935 0,-1.2490252 51.753071 0,-1.2490486 51.7530762 0,-1.2492613 51.7530843 0,-1.2493724 51.7530967 0,-1.2496876 51.7531163 0,-1.2496776 51.7531878 0,-1.2497184 51.7531897 0,-1.2496346 51.7537719 0,-1.2505108 51.7537617 0,-1.25053 51.7537632 0,-1.250815 51.7537639 0,-1.251202 51.7537606 0,-1.251319 51.7537608 0,-1.2515097 51.7537665 0,-1.2515737 51.7537734 0,-1.2523062 51.7538727 0,-1.2523878 51.7538848 0,-1.2524427 51.753936 0,-1.2524912 51.7541209 0,-1.2525326 51.754126 0,-1.2525757 51.7541313 0))",https://www.facebook.com/newcollegeoxford,http://www.new.ox.ac.uk/
Nuffield College,"POLYGON ((-1.2618695 51.7522649 0,-1.2619562 51.7522994 0,-1.2624891 51.7524845 0,-1.2629402 51.752637 0,-1.2636181 51.7528461 0,-1.2636439 51.7529078 0,-1.2634271 51.7531606 0,-1.2633583 51.7532126 0,-1.2632922 51.7532199 0,-1.2624525 51.7531417 0,-1.2623572 51.7531287 0,-1.262184 51.7530765 0,-1.2621324 51.753056 0,-1.2621134 51.753038 0,-1.262 51.7529293 0,-1.2619715 51.7528904 0,-1.2619653 51.7528425 0,-1.2619726 51.7527935 0,-1.2620182 51.7527388 0,-1.2620468 51.7526932 0,-1.2616228 51.7525646 0,-1.2618695 51.7522649 0))",https://www.facebook.com/OxfordNuffieldCollege,https://www.nuffield.ox.ac.uk/pages/default.aspx
Oriel College,"POLYGON ((-1.2539776 51.7520308 0,-1.253981 51.7519987 0,-1.2539856 51.7519563 0,-1.2539899 51.7519155 0,-1.2539949 51.7518693 0,-1.2539961 51.7518582 0,-1.2539972 51.7518481 0,-1.254003 51.7517937 0,-1.2540171 51.7516692 0,-1.2540203 51.751632 0,-1.2540865 51.7516328 0,-1.2540847 51.7516712 0,-1.2541007 51.7516716 0,-1.2541576 51.751673 0,-1.2542652 51.7516829 0,-1.2542957 51.751687 0,-1.2543314 51.751686 0,-1.2543359 51.7516987 0,-1.2543628 51.7516956 0,-1.2543725 51.7517251 0,-1.2544055 51.7517243 0,-1.2544384 51.7517447 0,-1.2544604 51.7517742 0,-1.2544897 51.7517735 0,-1.2545019 51.7518037 0,-1.2545202 51.7518505 0,-1.2545397 51.7518505 0,-1.2545556 51.751886 0,-1.2546006 51.7520119 0,-1.2546476 51.7521433 0,-1.2546868 51.7523149 0,-1.2544672 51.7523494 0,-1.2543337 51.7523703 0,-1.2542692 51.7523805 0,-1.2541905 51.7523928 0,-1.2540493 51.752415 0,-1.2540119 51.7522209 0,-1.2539989 51.7521604 0,-1.2539878 51.7521044 0,-1.253978 51.7520451 0,-1.2539104 51.7520535 0,-1.2539563 51.7522751 0,-1.2540022 51.7524324 0,-1.253492 51.7524948 0,-1.2534307 51.7523431 0,-1.2533611 51.7521337 0,-1.2533342 51.7520562 0,-1.25331 51.7519771 0,-1.2532644 51.7518273 0,-1.2532557 51.7517989 0,-1.2532501 51.7517898 0,-1.2531768 51.75167 0,-1.2531627 51.7516469 0,-1.2531444 51.7516042 0,-1.2531334 51.7515785 0,-1.2530121 51.7513274 0,-1.2529908 51.7512669 0,-1.2532176 51.751235 0,-1.2532186 51.751213 0,-1.2533226 51.7512162 0,-1.2533247 51.7511933 0,-1.2536311 51.7511787 0,-1.253884 51.7511683 0,-1.2539927 51.7511612 0,-1.2539865 51.751364 0,-1.253986 51.7513765 0,-1.2539843 51.7514464 0,-1.2539807 51.7515275 0,-1.2539641 51.7516657 0,-1.2539408 51.7517953 0,-1.253906 51.7520401 0,-1.2539776 51.7520308 0))",https://www.facebook.com/OrielCollegeOxford,http://www.oriel.ox.ac.uk/
Pembroke College,"MULTIPOLYGON (((-1.2584293 51.7498753 0,-1.2584473 51.7497199 0,-1.2584676 51.7494549 0,-1.2586998 51.7494633 0,-1.2586954 51.7493352 0,-1.2587145 51.7493355 0,-1.2587151 51.7493931 0,-1.2588959 51.7493657 0,-1.2588893 51.7493919 0,-1.2589788 51.7493925 0,-1.2589777 51.7494056 0,-1.2589615 51.7494055 0,-1.258963 51.7494319 0,-1.2589515 51.7494317 0,-1.2589491 51.7494983 0,-1.2589665 51.7494975 0,-1.2590074 51.749502 0,-1.2590031 51.7495169 0,-1.259092 51.7495273 0,-1.2591146 51.7495291 0,-1.2593081 51.7495504 0,-1.2592938 51.7496002 0,-1.2593799 51.7496102 0,-1.2593897 51.7496124 0,-1.2593704 51.7496839 0,-1.2593874 51.7496857 0,-1.2593768 51.7497251 0,-1.2593753 51.749733 0,-1.2591888 51.7497147 0,-1.2591757 51.7497758 0,-1.2593689 51.7497887 0,-1.2593271 51.7499254 0,-1.259144 51.7499152 0,-1.259129 51.7499131 0,-1.2588697 51.7498984 0,-1.2584293 51.7498753 0)),((-1.2589632 51.7506932 0,-1.2589473 51.7506923 0,-1.2588419 51.7506848 0,-1.258823 51.7506843 0,-1.258761 51.7506802 0,-1.2587486 51.7506794 0,-1.2585528 51.7506668 0,-1.2585359 51.7506657 0,-1.2584288 51.7506587 0,-1.2582221 51.7506453 0,-1.2581356 51.7506397 0,-1.2581185 51.7506386 0,-1.2579871 51.7506277 0,-1.2580161 51.7504398 0,-1.2580218 51.7504032 0,-1.257903 51.7503958 0,-1.2579245 51.7503554 0,-1.2579579 51.7502062 0,-1.2574653 51.7501395 0,-1.2573462 51.7501315 0,-1.2572394 51.7501361 0,-1.2570713 51.7501466 0,-1.2569313 51.7501543 0,-1.2569286 51.7501347 0,-1.2569128 51.7500125 0,-1.2569101 51.7497665 0,-1.257042 51.7497783 0,-1.2573573 51.7498075 0,-1.2573936 51.7498113 0,-1.2575376 51.7498235 0,-1.2576984 51.7498375 0,-1.2579789 51.7498655 0,-1.2581629 51.7498839 0,-1.2584637 51.749901 0,-1.2588445 51.7499223 0,-1.2588647 51.749923 0,-1.2588802 51.7499235 0,-1.2592954 51.7499561 0,-1.2592798 51.7500485 0,-1.2593197 51.7503041 0,-1.259326 51.750372 0,-1.2593248 51.7503857 0,-1.2593459 51.7504992 0,-1.2593643 51.7505887 0,-1.2593696 51.7506379 0,-1.2593554 51.7506392 0,-1.2593428 51.7506404 0,-1.2593406 51.7506606 0,-1.2593394 51.750672 0,-1.2593155 51.750672 0,-1.259307 51.7507016 0,-1.259191 51.750699 0,-1.2589632 51.7506932 0)))",https://www.facebook.com/PembrokeOxfordAccess,http://www.pmb.ox.ac.uk/
