doi,source
10.1002/bjs.10673.,doi_extracted
10.1164/rccm.201807-1419OC,doi_extracted
10.1038/s41591-018-0185-5,doi_extracted
10.1093/ecco-jcc/jjy185.,doi_extracted
10.1097/PAI.0000000000000631,doi_extracted
10.1111/jgh.14512.,doi_extracted
10.1053/j.gastro.2018.08.060.,doi_extracted
10.1186/s12879-018-3367-3.,doi_extracted
10.2147/IDR.S156581.,doi_extracted
10.1038/s41598-018-25559-6.,doi_extracted
10.1016/j.celrep.2018.03.074.,doi_extracted
10.3389/fimmu.2018.00486.,doi_extracted
10.1038/mi.2017.74.,doi_extracted
10.1002/hep.29837.,doi_extracted
10.1172/JCI99035.,doi_extracted
10.1017/S0033291717002379.,doi_extracted
10.1002/hep.29148.,doi_extracted
10.1111/liv.13284.,doi_extracted
10.1126/science.aao0184.,doi_extracted
10.1111/liv.13513.,doi_extracted
10.1016/j.pan.2017.04.002.PMID:28412148,doi_extracted
10.1093/ajcp/aqx011.,doi_extracted
10.1002/mrm.26635.,doi_extracted
10.1002/hep.28819.,doi_extracted
10.12688/wellcomeopenres.9952.1PubMed,doi_extracted
10.1128/JCM.00330-16.,doi_extracted
10.1002/hep.28533.,doi_extracted
10.1002/hep.28568.,doi_extracted
10.3390/vaccines4030027.,doi_extracted
10.1038/ncomms11653.,doi_extracted
10.1038/ajg.2016.40.,doi_extracted
10.1093/cid/ciy670.,doi_extracted
10.1161/CIRCGEN.118.002316,doi_extracted
10.1182/blood-2018-03-838235,doi_extracted
10.1038/gim.2017.241,doi_extracted
10.1038/gim.2017.247,doi_extracted
10.1016/j.jval.2018.04.677,doi_extracted
10.1038/gim.2017.249,doi_extracted
10.1038/gim.2017.157.,doi_extracted
10.1093/hmg/ddx270,doi_extracted
10.1038/s41525-017-0030-7,doi_extracted
10.1177/0968533217721966,doi_extracted
10.1007/s40273-017-0519-z,doi_extracted
10.1038/leu.2017.177.,doi_extracted
10.1093/bioinformatics/btx355.,doi_extracted
10.1101/mcs.a001362,doi_extracted
10.1038/ejhg.2017.32.,doi_extracted
10.1038/ejhg.2017.37.,doi_extracted
10.1371/journal.pmed.1002230,doi_extracted
10.1038/ng.3676.,doi_extracted
10.1371/journal.pone.0162809,doi_extracted
10.3324/haematol.2016.144063,doi_extracted
10.1161/CIRCGENETICS.116.001431,doi_extracted
10.1093/bioinformatics/btw587,doi_extracted
10.1038/gim.2016.90,doi_extracted
10.1002/ajmg.a.37755.PMID:,doi_extracted
10.1002/ccr3.663,doi_extracted
10.1016/j.ajhg.2016.04.007.,doi_extracted
10.1016/j.celrep.2016.04.090.,doi_extracted
10.1038/nmicrobiol.2016.41.,doi_extracted
10.1128/AAC.00464-16.,doi_extracted
10.1038/nmicrobiol.2016.67.,doi_extracted
10.1016/S1473-3099(16)30157-8.,doi_extracted
10.1136/bmjopen-2015-010969.,doi_extracted
10.1016/S1473-3099(17)30185-8.,doi_extracted
10.1038/s41598-018-32755-x,doi_from_pmid
10.1016/j.vaccine.2018.07.035,doi_from_pmid
10.3389/fimmu.2018.01529,doi_from_pmid
10.1128/IAI.00014-18,doi_from_pmid
10.1093/infdis/jiy052,doi_from_pmid
10.1093/cid/cix834,doi_from_pmid
10.1016/j.tube.2017.11.006,doi_from_pmid
10.1371/journal.pone.0191038,doi_from_pmid
10.1371/journal.pone.0184391,doi_from_pmid
10.1016/j.tube.2017.07.008,doi_from_pmid
10.1128/CVI.00142-17,doi_from_pmid
10.5588/ijtld.16.0709,doi_from_pmid
10.1371/journal.pntd.0005440,doi_from_pmid
10.1016/S2213-2600(17)30060-7,doi_from_pmid
10.1128/CVI.00525-16,doi_from_pmid
10.1038/srep43478,doi_from_pmid
10.3390/ijms18020312,doi_from_pmid
10.1186/s12879-016-1751-4,doi_from_pmid
10.1093/infdis/jiw141,doi_from_pmid
10.1038/ncomms11290,doi_from_pmid
10.1093/infdis/jiv482,doi_from_pmid
10.1016/j.cgh.2017.02.007,doi_from_pmid
10.1093/nar/gkx615,doi_from_pmid
10.1038/ng.3761,doi_from_pmid
10.1038/s41467-018-07329-0,doi_from_pmid
10.1136/bmjopen-2018-023301,doi_manual
10.1001/jama.2018.6452,doi_manual
10.3310/hta22250,doi_manual
0.1302/0301-620X.100B3.BJJ-2017-0872.R2,doi_manual
10.1136/bmjopen-2017-018849,doi_manual
10.1001/jama.2017.16429,doi_manual
10.1302/0301-620X.99B7.BJJ-2016-0767.R2,doi_manual
10.1371/journal.pone.0165021,doi_manual
10.1136/bmj.i2021,doi_manual
10.1016/j.injury.2018.06.032,doi_manual
10.1002/hbm.23739,doi_manual
10.3389/fnagi.2017.00155,doi_manual
10.1136/bmj.j2353,doi_manual
10.1016/j.nicl.2017.04.011,doi_manual
10.1016/j.neuroimage.2017.03.031,doi_manual
10.1002/hbm.23739,doi_manual
10.1016/j.neuroimage.2017.02.030,doi_manual
10.1159/000450546,doi_manual
10.1016/S2215-0366(16)30090-6,doi_manual
10.1016/j.jad.2016.06.049,doi_manual
10.1038/mp.2015.227,doi_manual
10.1093/brain/aww124,doi_manual
10.1017/S0033291715002007,doi_manual
10.1093/brain/awv334,doi_manual
10.3389/fnins.2015.00395,doi_manual
10.1371/journal.pone.0201205,doi_manual
10.1016/S1473-3099(18)30421-3,doi_manual
10.1111/tmi.13009,doi_manual
10.14573/altex.1607281,doi_manual
10.1016/j.vaccine.2016.07.058,doi_manual
10.1016/j.tube.2015.10.002,doi_manual
10.1007/s40273-017-0519-z,doi_manual
10.1016/j.antiviral.2017.08.016,doi_manual
10.1016/j.jhep.2015.10.009,doi_manual
10.1002/eji.201444970,doi_manual
10.1186/s12859-016-0886-z,doi_manual
10.1038/ncomms12342,doi_manual
10.1038/ng.3760,doi_manual
10.1038/ng.3755,doi_manual
10.15252/embj.201695364,doi_manual
10.18632/oncotarget.22264,doi_manual
10.1016/j.molimm.2017.11.028,doi_manual
10.1016/j.bpg.2017.11.001,doi_manual
10.1038/s41598-017-16742-2,doi_manual
10.1038/s41598-018-20372-7,doi_manual
10.3389/fmed.2018.00032,doi_manual
10.1038/s41590-018-0133-z,doi_manual
10.1093/ecco-jcc/jjy101,doi_manual
10.1016/j.cell.2018.08.067,doi_manual
10.1161/CIRCGEN.118.002316,doi_manual
10.1097/PAI.0000000000000631,doi_manual
10.1097/PAI.0000000000000631,doi_manual
10.1002/path.5081,doi_manual
10.1002/path.5081,doi_manual
10.1002/humu.23420,doi_manual
10.1002/humu.23420,doi_manual
10.1182/blood-2018-03-838235,doi_manual
10.1101/mcs.a002279,doi_manual
10.1016/S2468-1253(18)30117-1,doi_manual
10.1016/S2468-1253(18)30117-1,doi_manual
10.1016/S2468-1253(18)30117-1,doi_manual
10.1002/path.5081,doi_manual
10.1038/s41431-018-0106-6,doi_manual
10.1038/s41431-018-0106-6,doi_manual
10.3791/53570,doi_manual
10.3791/53570,doi_manual
10.1186/s12864-018-4485-4,doi_manual
10.1186/s12864-018-4485-4,doi_manual
10.1038/gim.2017.241,doi_manual
10.1038/gim.2017.241,doi_manual
10.1016/j.jval.2018.04.677,doi_manual
10.1038/gim.2017.249,doi_manual
10.1038/gim.2017.249,doi_manual
10.1038/gim.2017.157,doi_manual
10.1093/hmg/ddx270,doi_manual
10.1038/s41525-017-0030-7,doi_manual
10.1177/0968533217721966,doi_manual
10.1007/s40273-017-0519-z,doi_manual
10.1007/s40273-017-0519-z,doi_manual
10.1093/bioinformatics/btx355,doi_manual
10.1101/mcs.a001362,doi_manual
10.1038/ejhg.2017.32,doi_manual
10.1038/ejhg.2017.37,doi_manual
10.1038/ejhg.2017.37,doi_manual
10.1371/journal.pmed.1002230,doi_manual
10.1136/jmedgenet-2016-104215,doi_manual
10.1136/jmedgenet-2016-104215,doi_manual
10.1038/ng.3676,doi_manual
10.1371/journal.pone.0162809,doi_manual
10.3324/haematol.2016.144063,doi_manual
10.1161/CIRCGENETICS.116.001431,doi_manual
10.1093/bioinformatics/btw587,doi_manual
10.1038/gim.2016.90,doi_manual
10.1002/ajmg.a.37755,doi_manual
10.1002/ccr3.663,doi_manual
10.1212/WNL.0000000000002807,doi_manual
10.1212/WNL.0000000000002807,doi_manual
10.1016/j.ajhg.2016.04.007,doi_manual
10.1016/j.ajhg.2016.04.007,doi_manual
10.1016/j.celrep.2016.04.090,doi_manual
10.1016/j.celrep.2016.04.090,doi_manual
10.1186/s12902-018-0315-6,doi_manual
10.1038/s41366-018-0263-2,doi_manual
10.3390/nu10091263,doi_manual
10.1016/j.jtbi.2018.07.025,doi_manual
10.1111/cen.13811,doi_manual
10.1210/jc.2018-00529,doi_manual
10.1111/dme.13540,doi_manual
10.1136/flgastro-2017-100806,doi_manual
10.1210/jc.2017-00947,doi_manual
10.1172/jci.insight.93136,doi_manual
10.1210/en.2016-1722,doi_manual
10.1210/jc.2016-3600,doi_manual
10.1210/jc.2016-2855,doi_manual
10.1111/cen.13232,doi_manual
10.14814/phy2.12944,doi_manual
10.1111/cen.13150,doi_manual
10.1371/journal.pone.0163777,doi_manual
10.1111/liv.13163,doi_manual
10.1210/jc.2015-2928,doi_manual
10.1016/S0140-6736(15)00803-X,doi_manual
10.1016/j.jhep.2015.08.038,doi_manual
10.1016/j.cmi.2015.10.034,doi_manual
10.1038/nrmicro.2015.13,doi_manual
10.1136/thoraxjnl-2015-207688,doi_manual
10.1128/genomeA.01649-15,doi_manual
10.1128/JCM.03142-15,doi_manual
10.1128/mBio.02162-15,doi_manual
10.1016/S1473-3099(16)30413-3,doi_manual
10.1093/cid/cix079,doi_manual
10.1128/AAC.01823-16,doi_manual
10.1093/cid/cix132,doi_manual
10.3389/fmicb.2017.00182,doi_manual
10.1016/j.jhin.2017.01.015,doi_manual
10.1016/S0140-6736(17)30782-1,doi_manual
10.1093/jac/dkx067,doi_manual
10.1128/JCM.02483-16,doi_manual
10.1016/j.plasmid.2017.03.002,doi_manual
10.1186/s12916-017-0844-2,doi_manual
10.1093/cid/cix338,doi_manual
10.1128/JCM.00363-17,doi_manual
10.1016/j.dib.2017.04.024,doi_manual
10.1038/s41598-017-06256-2,doi_manual
10.1371/journal.pcbi.1005622,doi_manual
10.1093/jac/dkx264,doi_manual
10.1136/bmj.j3418,doi_manual
10.1371/journal.pone.0182307,doi_manual
10.7554/eLife.30637,doi_manual
10.1093/cid/cix885,doi_manual
10.1016/j.chembiol.2017.12.009,doi_manual
10.1093/jac/dkx456,doi_manual
10.1128/JCM.01480-17,doi_manual
10.1093/bioinformatics/btx801,doi_manual
10.1093/jac/dky041,doi_manual
10.1371/journal.pone.0194858,doi_manual
10.1093/cid/ciy252,doi_manual
10.1093/cid/ciy302,doi_manual
10.1093/ofid/ofx162.000,doi_manual
10.2807/1560-7917.ES.2018.23.25.1700424,doi_manual
10.1128/JCM.01815-17,doi_manual
10.1128/JCM.00104-18,doi_manual
10.1016/S1473-3099(18)30353-0,doi_manual
10.1128/CMR.00029-17,doi_manual
10.1056/NEJMoa1800474,doi_manual
10.1016/j.jinf.2018.08.015,doi_manual
10.1101/344853,doi_manual
10.1128/AAC.01689-18,doi_manual
10.1099/mgen.0.000232,doi_manual
10.1371/journal.pone.0206860,doi_manual
10.1016/j.cmi.2018.11.002,doi_manual
10.1093/jac/dky523,doi_manual
10.1093/bioinformatics/btz067,doi_manual
10.1093/bioinformatics/bty949,doi_manual
