drink.name,retailer,type,details,year
Christmas brulee latte,Starbucks,coffee,,2018
Flat white cinnamon,Starbucks,coffee,,2018
Toffee nut latte,Starbucks,coffee,,2018
Gingerbread latte,Starbucks,coffee,,2018
Eggnog latte,Starbucks,coffee,,2018
Salted caramel brownie hot chocolate,Starbucks,hot chocolate,,2018
Caramelised almond brittle latte,Café Nero,coffee,,2018
Salted caramel latte,Café Nero,coffee,,2018
Belgian truffle hot chocolate,Café Nero,hot chocolate,,2018
Winter spiced hot chocolate,Café Nero,hot chocolate,,2018
Hazlenut praline & cream latte,Costa,coffee,,2018
Caramelised orange & cream latte,Costa,coffee,,2018
Gingerbread & cream latte,Costa,coffee,,2018
Hazlenut praline & cream hot chocolate,Costa,hot chocolate,,2018
Caramelised orange & cream hot chocolate,Costa,hot chocolate,,2018
Luxury caramel hot chocolate,Costa,hot chocolate,,2018
Luxury hot chocolate,Costa,hot chocolate,,2018
Gingerbread & cream hot chocolate,Costa,hot chocolate,,2018
Black forest hot chocolate,Costa,hot chocolate,,2018
Millionaire's latte,McDonalds,coffee,,2018
Crème brulee latte,Pret,coffee,,2018
Gingerbread latte,Pret,coffee,,2018
Salted caramel latte,Greggs,coffee,,2018
Mint mocha,Greggs,coffee,,2018